koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err2,koi_impact,koi_duration,koi_depth,koi_depth_err2,koi_model_snr,koi_srad,koi_srad_err2,dec
CONFIRMED,1.0,0,0,0,0,9.48803557,-2.775e-05,0.146,2.9575,615.8,-19.5,35.8,0.927,-0.061,48.141651
CONFIRMED,0.969,0,0,0,0,54.4183827,-0.0002479,0.586,4.507,874.8,-35.5,25.8,0.927,-0.061,48.141651
FALSE POSITIVE,0.0,0,1,0,0,1.736952453,-2.63e-07,1.276,2.40641,8079.2,-12.8,505.6,0.791,-0.067,48.28521
CONFIRMED,1.0,0,0,0,0,2.525591777,-3.761e-06,0.701,1.6545,603.3,-16.9,40.9,1.046,-0.133,48.2262
CONFIRMED,1.0,0,0,0,0,11.09432054,-2.036e-05,0.538,4.5945,1517.5,-24.2,66.5,0.972,-0.105,48.22467
CONFIRMED,1.0,0,0,0,0,4.13443512,-1.046e-05,0.762,3.1402,686.0,-18.7,40.2,0.972,-0.105,48.22467
CONFIRMED,0.992,0,0,0,0,2.56658897,-1.781e-05,0.755,2.429,226.5,-16.8,15.0,0.972,-0.105,48.22467
FALSE POSITIVE,0.0,0,1,1,0,7.36178958,-2.128e-05,1.169,5.022,233.7,-5.8,47.7,1.958,-0.483,42.151569
CONFIRMED,1.0,0,0,0,0,16.06864674,-1.088e-05,0.052,3.5347,4914.3,-33.3,161.9,0.848,-0.072,48.37579
CONFIRMED,0.811,0,0,0,0,2.470613377,-2.7e-08,0.818,1.74319,14231.0,-4.2,4304.3,0.964,-0.038,49.316399
CONFIRMED,1.0,0,1,0,0,2.204735417,-4.3e-08,0.224,3.88864,6674.7,-1.7,5945.9,1.952,-0.11,47.969521
CONFIRMED,0.998,0,0,0,0,3.522498429,-1.98e-07,0.631,3.19843,9145.7,-6.6,1741.5,1.451,-0.11,42.45108
CONFIRMED,1.0,0,0,0,0,3.709214104,-6.536e-06,0.051,2.6302,131.1,-3.0,50.6,1.022,-0.107,48.49556
FALSE POSITIVE,0.0,0,1,0,0,11.521446064,-1.98e-06,2.483,3.6399,17984.0,-31.9,622.1,0.848,-0.075,47.597401
FALSE POSITIVE,0.0,0,1,0,0,19.40393776,-2.068e-05,0.804,12.2155,8918.7,-53.3,214.7,0.68,-0.065,47.635319
FALSE POSITIVE,0.0,0,1,0,0,19.221388942,-1.123e-06,1.065,4.79843,74284.0,-21.9,2317.0,0.947,-0.096,47.69035
