tfopwg_disp,ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
FP,112.357708,-12.69596,-5.964,0.085,-0.085,0.0,-0.076,0.072,-0.072,0.0,2459229.630046,0.001657,-0.001657,0,2.1713484,0.0002637,-0.0002637,0,2.0172196,0.3195879,-0.3195879,0,656.8860989,37.77821,-37.77821,0,5.8181633,1.9105465,-1.9105465,0,22601.9485814,3127.2040524,9.604,0.013,-0.013,0,485.735,11.9515,-11.9515,0,10249.0,264.7,-264.7,0,4.19,0.07,-0.07,0,2.16986,0.0725729,-0.0725729,0
FP,104.726966,-10.580455,-1.462,0.206,-0.206,0.0,-2.249,0.206,-0.206,0.0,2459224.687802,0.000625,-0.000625,0,1.8675574,3e-06,-3e-06,0,1.408,0.184,-0.184,0,1500.0,1.7584,-1.7584,0,23.7529,,,0,2860.61,2037.0,9.299501,0.058,-0.058,0,943.109,106.333,-106.333,0,8924.0,124.0,-124.0,0,,,,0,5.73,,,0
FP,110.559945,-25.207017,-0.939,0.041,-0.041,0.0,1.64,0.055,-0.055,0.0,2458493.3957,0.00535,-0.00535,0,2.74323,0.00108,-0.00108,0,3.167,0.642,-0.642,0,383.41,0.781988,-0.781988,0,,,,0,1177.36,1631.0,9.3003,0.037,-0.037,0,7728.17,1899.57,-1899.57,0,5388.5,567.0,-567.0,0,4.15,1.64,-1.64,0,,,,0
FP,122.178195,-48.802811,-4.496,0.069,-0.069,0.0,9.347,0.062,-0.062,0.0,2459987.047262,0.003748,-0.003748,0,3.5730141,1.28e-05,-1.28e-05,0,3.37,1.029,-1.029,0,755.0,1306.55,-1306.55,0,11.3113,3.24714,-3.24714,0,54679.3,4260.0,9.1355,0.006,-0.006,0,356.437,4.6175,-4.6175,0,9219.0,171.1,-171.1,0,4.14,0.07,-0.07,0,2.15,0.06,-0.06,0
FP,120.704811,-11.101521,-26.932,1.935,-1.935,0.0,-2.901,2.06,-2.06,0.0,2459985.156855,0.000581,-0.000581,0,4.5505945,3.1e-06,-3.1e-06,0,2.654,0.339,-0.339,0,3731.0,123.723,-123.723,0,7.10841,0.474611,-0.474611,0,414.775,1257.0,9.1309,0.006,-0.006,0,100.711,14.121,-14.121,0,5613.0,179.9,-179.9,0,,,,0,1.09,0.07,-0.07,0
FP,124.359239,-27.273521,-29.1,2.6,-2.6,0.0,-6.8,2.2,-2.2,0.0,2459229.984579,0.002159,-0.002159,0,2.5047918,0.0004076,-0.0004076,0,4.3797563,0.1036554,-0.1036554,0,2270.5402194,81.38088,-81.38088,0,8.6950898,8.438766,-8.438766,0,1750.932635,1649.8220699,9.2386,0.006,-0.006,0,,,,0,6616.0,200.0,-200.0,0,,,,0,1.53429,1.4887,-1.4887,0
FP,109.382839,13.395219,-17.9,1.1,-1.1,0.0,1.3,1.0,-1.0,0.0,2460258.236122,0.002805,-0.002805,0,2.0483755,5.5e-06,-5.5e-06,0,2.767,0.861,-0.861,0,483.0,41.94,-41.94,0,3.19621,,,0,5644.4,,8.9362,0.012,-0.012,0,144.297,,,0,6858.5,584.6,-584.6,0,4.2,1.9,-1.9,0,1.57,,,0
KP,318.737012,-55.871863,12.641,0.044,-0.044,0.0,-16.011,0.041,-0.041,0.0,2458326.009117,0.000132,-0.000132,0,1.4303699,8e-07,-8e-07,0,1.6165994,0.0192089,-0.0192089,0,18960.7122944,184.79134,-184.79134,0,13.1874503,0.6576402,-0.6576402,0,1281.2408254,1525.9048089,12.4069,0.006,-0.006,0,375.31,4.411,-4.411,0,5600.0,,,0,4.48851,,,0,0.890774,0.0438467,-0.0438467,0
FP,112.293981,-21.832912,-5.746,0.176,-0.176,0.0,4.502,0.261,-0.261,0.0,2459228.878101,0.000791,-0.000791,0,0.6808702,3.9e-05,-3.9e-05,0,2.4634563,0.0557065,-0.0557065,0,1507.8006889,39.971123,-39.971123,0,5.9115908,1.5360428,-1.5360428,0,87140.6995884,4382.0266062,8.45086,0.006,-0.006,0,485.122,36.246,-36.246,0,9438.0,782.0,-782.0,0,,,,0,1.0,,,0
FP,107.286063,-31.933523,-3.973,0.063,-0.063,0.0,7.061,0.071,-0.071,0.0,2459232.248322,0.000512,-0.000512,0,5.4255548,0.0002073,-0.0002073,0,3.9637474,0.0211401,-0.0211401,0,14939.6342222,238.97354,-238.97354,0,,,,0,273.5880696,1037.2753045,7.6095,0.006,-0.006,0,510.295,9.32,-9.32,0,8868.7,809.8,-809.8,0,,,,0,,,,0
