flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
11288.066,5.6549206,0,0.0010695322,963.4343327941747,845.9190661093323,1105,8891.316,4.4329534,680.50055,0.4075146,11288.066,5.6549206,0,,,,,963.4343327941747,0.00077111804,845.9190661093323,0.0008199334,-0.009217459,-0.013527647
11292.761,5.654041,0,0.0010702565,963.4343318810736,845.9193228050201,1106,8893.737,4.4333744,656.8249,0.4073189,11292.761,5.654041,0,,,,,963.4343318810736,0.0007717967,845.9193228050201,0.0008206715,-0.009173585,-0.013551758
11281.872,5.649789,8192,0.0010709806,963.4365364139863,845.9176224439398,1107,8885.391,4.432857,654.5247,0.40746492,11281.872,5.649789,8192,,,,,963.4365364139863,0.00077101024,845.9176224439398,0.0008190045,-0.009321798,-0.0136304395
11298.02,5.6570654,0,0.0010717047,963.4322350949674,845.919878118391,1108,8899.486,4.433579,654.29065,0.4083789,11298.02,5.6570654,0,,,,,963.4322350949674,0.0007707953,845.919878118391,0.0008197346,-0.009337413,-0.013619965
11284.712,5.6573076,0,0.0010724288,963.4322296008567,845.92056352124,1109,8887.264,4.4329424,644.9961,0.4084401,11284.712,5.6573076,0,,,,,963.4322296008567,0.0007718426,845.92056352124,0.00082102814,-0.009300201,-0.01318398
11292.368,5.657449,0,0.0010731528,963.431424120282,845.9190864475684,1110,8893.904,4.433287,637.5801,0.40831438,11292.368,5.657449,0,,,,,963.431424120282,0.00077155285,845.9190864475684,0.00082042755,-0.009194484,-0.013219508
11296.4795,5.6591225,0,0.0010738769,963.4325605064724,845.9201226018304,1111,8897.466,4.4338064,636.6695,0.40779257,11296.4795,5.6591225,0,,,,,963.4325605064724,0.00077164295,845.9201226018304,0.00082074077,-0.009163128,-0.013154156
11288.383,5.6551576,0,0.0010746007,963.4323311735104,845.9204315583625,1112,8890.9375,4.433197,674.1036,0.40846556,11288.383,5.6551576,0,,,,,963.4323311735104,0.0007720062,845.9204315583625,0.00082122395,-0.009009675,-0.013044867
11288.016,5.65405,8192,0.0010753247,963.432972722806,845.9209675390296,1113,8890.608,4.43351,662.152,0.4070301,11288.016,5.65405,8192,,,,,963.432972722806,0.0007720468,845.9209675390296,0.0008213362,-0.009087725,-0.013034637
11302.501,5.652858,0,0.0010760486,963.4335495469238,845.9203045932677,1114,8901.502,4.433689,670.4986,0.4080671,11302.501,5.652858,0,,,,,963.4335495469238,0.0007702418,845.9203045932677,0.0008193253,-0.009016114,-0.01280143
